Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,52.84,51.00,54.84,56.53,52.20,53.00,50.83,49.71,51.72,51.48,52.36
Grok 4 Fast,xAI,09/19/25,55.32,54.44,55.80,56.21,55.97,51.07,53.32,,51.96,51.07,
Claude Sonnet 4.5,Anthropic,09/29/25,48.75,53.24,53.72,48.35,51.80,48.11,48.75,53.00,51.64,52.76,51.00
GPT 5.1 Chat,OpenAI,11/13/25,52.20,50.75,47.47,52.60,53.88,57.09,48.83,53.44,53.24,49.71,49.71
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,51.55,52.54,53.56,53.32,53.09,52.68,53.96,,53.96,52.20,
Claude Opus 4.5,Anthropic,11/24/25,52.60,50.76,56.61,49.63,52.04,51.48,54.84,52.60,53.24,52.36,52.36
GPT 5.2 Chat,OpenAI,12/10/25,56.09,54.99,56.21,57.88,52.04,53.57,54.01,57.33,57.09,55.97,49.95
Gemini 3 Flash Preview,Google,12/17/25,50.35,52.36,57.73,55.25,60.30,52.84,51.24,54.12,55.73,55.73,56.37
Claude Opus 4.6,Anthropic,02/04/26,57.09,55.25,54.84,57.33,57.49,52.44,57.09,55.97,52.84,53.96,51.72
Claude Sonnet 4.6,Anthropic,02/17/26,53.72,44.50,56.61,54.60,55.73,53.24,56.85,55.08,54.36,53.24,53.24
Gemini 3.1 Pro Preview,Google,02/19/26,59.44,53.80,56.54,60.14,59.38,55.61,61.95,58.59,,,
GPT 5.3 Chat,OpenAI,03/03/26,55.08,57.33,53.32,54.20,,57.09,57.09,55.08,53.96,55.08,58.45
GPT 5.4,OpenAI,03/05/26,58.78,53.64,54.84,54.12,53.16,54.12,57.65,57.01,57.89,56.13,58.13
Grok 4.20,xAI,03/31/26,51.72,48.52,60.78,48.51,57.90,48.35,53.24,59.63,52.28,54.05,46.91
Claude Opus 4.7,Anthropic,04/16/26,55.97,51.88,53.48,55.08,57.82,53.24,55.97,55.08,54.84,53.72,55.73
GPT 5.5,OpenAI,04/24/26,58.33,,57.73,56.55,54.17,,58.46,,,57.99,61.69
Grok 4.3,xAI,04/30/26,53.96,50.76,55.97,53.40,50.20,56.85,57.57,,49.81,52.84,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,51.96,51.00,53.96,54.84,43.75,51.48,54.84,53.72,54.60,54.84,52.84
