Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,65.64,60.98,67.66,64.97,56.21,63.01,63.62,62.08,64.11,63.07,63.56
Grok 4 Fast,xAI,09/19/25,69.74,69.25,71.82,70.23,59.21,64.66,67.72,,65.15,64.66,
Claude Sonnet 4.5,Anthropic,09/29/25,57.92,64.05,66.13,59.51,57.80,58.47,57.92,63.01,60.43,61.96,60.98
GPT 5.1 Chat,OpenAI,11/13/25,66.19,62.66,59.02,64.60,63.50,70.72,61.59,67.79,64.05,62.08,62.08
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,66.74,68.08,68.76,67.72,56.70,68.27,67.17,,67.17,66.19,
Claude Opus 4.5,Anthropic,11/24/25,64.60,59.94,68.64,58.41,58.84,63.07,67.66,64.60,64.05,63.56,63.56
GPT 5.2 Chat,OpenAI,12/10/25,71.07,69.19,70.23,72.73,58.84,67.86,69.01,71.57,70.72,69.19,63.13
Gemini 3 Flash Preview,Google,12/17/25,61.53,63.56,70.17,66.07,67.97,65.64,62.02,64.54,68.15,68.15,67.60
Claude Opus 4.6,Anthropic,02/04/26,70.72,66.07,67.66,71.76,69.13,67.23,70.72,69.19,65.64,67.17,64.11
Claude Sonnet 4.6,Anthropic,02/17/26,66.13,52.84,68.64,66.62,58.17,64.05,69.68,68.70,65.58,64.05,64.05
Gemini 3.1 Pro Preview,Google,02/19/26,75.00,68.27,72.04,74.89,66.59,69.90,75.05,75.35,,,
GPT 5.3 Chat,OpenAI,03/03/26,68.70,71.76,67.72,68.21,,70.72,70.72,68.70,67.17,68.70,73.29
GPT 5.4,OpenAI,03/05/26,68.03,62.45,67.66,64.54,60.37,64.54,66.50,67.05,67.54,66.56,68.58
Grok 4.20,xAI,03/31/26,64.11,46.91,70.05,56.88,57.56,59.51,64.05,67.39,59.88,60.86,48.28
Claude Opus 4.7,Anthropic,04/16/26,69.19,61.47,65.09,68.70,63.87,65.33,69.19,68.70,67.66,66.13,68.15
GPT 5.5,OpenAI,04/24/26,76.85,,70.72,75.86,64.08,,76.92,,,73.88,76.60
Grok 4.3,xAI,04/30/26,67.17,59.94,69.19,61.41,54.19,69.68,72.80,,60.08,65.64,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,65.15,60.98,67.17,67.66,41.48,63.07,67.66,66.13,66.62,67.66,65.64
