Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,75.23,68.48,77.27,71.29,59.22,70.51,73.20,71.36,73.40,71.76,71.95
Grok 4 Fast,xAI,09/19/25,80.55,80.35,83.83,80.74,61.64,74.84,78.52,,75.04,74.84,
Claude Sonnet 4.5,Anthropic,09/29/25,64.80,72.15,75.43,67.89,62.30,66.25,64.80,70.51,67.03,68.87,68.48
GPT 5.1 Chat,OpenAI,11/13/25,76.68,71.60,67.69,73.59,70.70,80.94,71.17,78.54,72.15,71.36,71.36
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,78.12,79.73,80.16,78.52,59.42,79.96,77.07,,77.07,76.68,
Claude Opus 4.5,Anthropic,11/24/25,73.59,66.83,77.66,65.00,63.95,71.76,77.27,73.59,72.15,71.95,71.95
GPT 5.2 Chat,OpenAI,12/10/25,82.31,79.85,80.74,83.88,63.95,78.57,80.26,82.24,80.94,79.10,73.01
Gemini 3 Flash Preview,Google,12/17/25,69.92,71.95,79.50,74.18,73.72,75.23,70.12,72.34,77.46,77.46,76.02
Claude Opus 4.6,Anthropic,02/04/26,80.94,74.18,77.27,82.58,77.86,78.32,80.94,79.10,75.23,77.07,73.40
Claude Sonnet 4.6,Anthropic,02/17/26,75.43,59.10,77.66,75.63,60.00,72.15,79.30,78.91,73.99,72.15,72.15
Gemini 3.1 Pro Preview,Google,02/19/26,86.67,79.13,83.67,85.96,72.00,80.61,84.88,87.92,,,
GPT 5.3 Chat,OpenAI,03/03/26,78.91,82.58,78.52,78.71,,80.94,80.94,78.91,77.07,78.91,84.42
GPT 5.4,OpenAI,03/05/26,74.97,69.06,77.27,72.34,65.78,72.34,73.13,74.57,74.77,74.38,76.41
Grok 4.20,xAI,03/31/26,73.40,45.70,77.00,63.16,57.31,67.89,72.15,73.20,65.59,65.98,49.31
Claude Opus 4.7,Anthropic,04/16/26,79.10,68.67,73.79,78.91,68.40,74.39,79.10,78.91,77.27,75.43,77.46
GPT 5.5,OpenAI,04/24/26,90.74,,80.46,90.34,71.52,,90.77,,,85.80,87.78
Grok 4.3,xAI,04/30/26,77.07,66.83,79.10,67.42,57.19,79.30,84.22,,67.78,75.23,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,75.04,68.48,77.07,77.27,39.77,71.76,77.27,75.43,75.63,77.27,75.23
