Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,59.24,55.99,61.25,60.75,54.21,58.00,57.22,55.90,57.91,57.27,57.96
Grok 4 Fast,xAI,09/19/25,62.53,61.84,63.81,63.22,57.59,57.87,60.52,,58.55,57.87,
Claude Sonnet 4.5,Anthropic,09/29/25,53.34,58.64,59.92,53.93,54.80,53.29,53.34,58.00,56.04,57.36,55.99
GPT 5.1 Chat,OpenAI,11/13/25,59.19,56.71,53.25,58.60,58.69,63.90,55.21,60.61,58.64,55.90,55.90
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,59.15,60.31,61.16,60.52,54.89,60.47,60.56,,60.56,59.19,
Claude Opus 4.5,Anthropic,11/24/25,58.60,55.35,62.62,54.02,55.44,57.27,61.25,58.60,58.64,57.96,57.96
GPT 5.2 Chat,OpenAI,12/10/25,63.58,62.09,63.22,65.31,55.44,60.71,61.51,64.45,63.90,62.58,56.54
Gemini 3 Flash Preview,Google,12/17/25,55.94,57.96,63.95,60.66,64.13,59.24,56.63,59.33,61.94,61.94,61.98
Claude Opus 4.6,Anthropic,02/04/26,63.90,60.66,61.25,64.54,63.31,59.83,63.90,62.58,59.24,60.56,57.91
Claude Sonnet 4.6,Anthropic,02/17/26,59.92,48.67,62.62,60.61,56.95,58.64,63.26,61.89,59.97,58.64,58.64
Gemini 3.1 Pro Preview,Google,02/19/26,67.22,61.04,64.29,67.51,62.98,62.76,68.50,66.97,,,
GPT 5.3 Chat,OpenAI,03/03/26,61.89,64.54,60.52,61.20,,63.90,63.90,61.89,60.56,61.89,65.87
GPT 5.4,OpenAI,03/05/26,63.40,58.05,61.25,59.33,56.77,59.33,62.07,62.03,62.72,61.34,63.36
Grok 4.20,xAI,03/31/26,57.91,47.71,65.41,52.70,57.73,53.93,58.64,63.51,56.08,57.45,47.60
Claude Opus 4.7,Anthropic,04/16/26,62.58,56.68,59.28,61.89,60.84,59.28,62.58,61.89,61.25,59.92,61.94
GPT 5.5,OpenAI,04/24/26,67.59,,64.22,66.21,59.13,,67.69,,,65.94,69.15
Grok 4.3,xAI,04/30/26,60.56,55.35,62.58,57.41,52.19,63.26,65.18,,54.94,59.24,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,58.55,55.99,60.56,61.25,42.61,57.27,61.25,59.92,60.61,61.25,59.24
