Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,78.43,70.97,80.47,73.40,60.22,73.01,76.40,74.46,76.49,74.65,74.75
Grok 4 Fast,xAI,09/19/25,84.15,84.05,87.83,84.25,62.45,78.24,82.11,,78.34,78.24,
Claude Sonnet 4.5,Anthropic,09/29/25,67.09,74.85,78.53,70.68,63.81,68.84,67.09,73.01,69.23,71.17,70.97
GPT 5.1 Chat,OpenAI,11/13/25,80.18,74.57,70.58,76.59,73.11,84.35,74.36,82.13,74.85,74.46,74.46
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,81.92,83.62,83.96,82.11,60.32,83.86,80.37,,80.37,80.18,
Claude Opus 4.5,Anthropic,11/24/25,76.59,69.13,80.67,67.19,65.65,74.65,80.47,76.59,74.85,74.75,74.75
GPT 5.2 Chat,OpenAI,12/10/25,86.05,83.40,84.25,87.59,65.65,82.14,84.01,85.80,84.35,82.41,76.30
Gemini 3 Flash Preview,Google,12/17/25,72.72,74.75,82.61,76.89,75.63,78.43,72.81,74.95,80.57,80.57,78.83
Claude Opus 4.6,Anthropic,02/04/26,84.35,76.89,80.47,86.19,80.76,82.02,84.35,82.41,78.43,80.37,76.49
Claude Sonnet 4.6,Anthropic,02/17/26,78.53,61.18,80.67,78.63,60.61,74.85,82.51,82.31,76.79,74.85,74.85
Gemini 3.1 Pro Preview,Google,02/19/26,90.56,82.75,87.55,89.64,73.81,84.18,88.15,92.11,,,
GPT 5.3 Chat,OpenAI,03/03/26,82.31,86.19,82.11,82.21,,84.35,84.35,82.31,80.37,82.31,88.13
GPT 5.4,OpenAI,03/05/26,77.28,71.27,80.47,74.95,67.59,74.95,75.34,77.08,77.18,76.98,79.02
Grok 4.20,xAI,03/31/26,76.49,45.30,79.32,65.25,57.23,70.68,74.85,75.14,67.49,67.68,49.66
Claude Opus 4.7,Anthropic,04/16/26,82.41,71.07,76.69,82.31,69.92,77.41,82.41,82.31,80.47,78.53,80.57
GPT 5.5,OpenAI,04/24/26,95.37,,83.71,95.17,73.99,,95.38,,,89.78,91.51
Grok 4.3,xAI,04/30/26,80.37,69.13,82.41,69.43,58.19,82.51,88.03,,70.35,78.43,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,78.34,70.97,80.37,80.47,39.20,74.65,80.47,78.53,78.63,80.47,78.43
