Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,72.03,65.98,74.06,69.18,58.22,68.01,70.01,68.27,70.30,68.86,69.15
Grok 4 Fast,xAI,09/19/25,76.94,76.65,79.83,77.24,60.83,71.45,74.92,,71.74,71.45,
Claude Sonnet 4.5,Anthropic,09/29/25,62.51,69.45,72.33,65.10,60.80,63.66,62.51,68.01,64.83,66.57,65.98
GPT 5.1 Chat,OpenAI,11/13/25,73.18,68.62,64.80,70.59,68.30,77.53,67.98,74.96,69.45,68.27,68.27
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,74.33,75.85,76.36,74.92,58.51,76.06,73.77,,73.77,73.18,
Claude Opus 4.5,Anthropic,11/24/25,70.59,64.54,74.65,62.80,62.24,68.86,74.06,70.59,69.45,69.15,69.15
GPT 5.2 Chat,OpenAI,12/10/25,78.56,76.30,77.24,80.16,62.24,75.00,76.51,78.68,77.53,75.80,69.71
Gemini 3 Flash Preview,Google,12/17/25,67.12,69.15,76.39,71.48,71.80,72.03,67.42,69.74,74.36,74.36,73.21
Claude Opus 4.6,Anthropic,02/04/26,77.53,71.48,74.06,78.97,74.95,74.62,77.53,75.80,72.03,73.77,70.30
Claude Sonnet 4.6,Anthropic,02/17/26,72.33,57.01,74.65,72.62,59.39,69.45,76.09,75.50,71.18,69.45,69.45
Gemini 3.1 Pro Preview,Google,02/19/26,82.78,75.51,79.80,82.27,70.20,77.04,81.60,83.73,,,
GPT 5.3 Chat,OpenAI,03/03/26,75.50,78.97,74.92,75.21,,77.53,77.53,75.50,73.77,75.50,80.71
GPT 5.4,OpenAI,03/05/26,72.65,66.86,74.06,69.74,63.98,69.74,70.92,72.06,72.36,71.77,73.80
Grok 4.20,xAI,03/31/26,70.30,46.10,74.68,61.07,57.39,65.10,69.45,71.27,63.69,64.27,48.97
Claude Opus 4.7,Anthropic,04/16/26,75.80,66.27,70.89,75.50,66.89,71.37,75.80,75.50,74.06,72.33,74.36
GPT 5.5,OpenAI,04/24/26,86.11,,77.21,85.52,69.04,,86.15,,,81.83,84.06
Grok 4.3,xAI,04/30/26,73.77,64.54,75.80,65.42,56.19,76.09,80.41,,65.21,72.03,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,71.74,65.98,73.77,74.06,40.34,68.86,74.06,72.33,72.62,74.06,72.03
