Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,62.44,58.49,64.45,62.86,55.21,60.50,60.42,58.99,61.01,60.17,60.76
Grok 4 Fast,xAI,09/19/25,66.13,65.55,67.82,66.72,58.40,61.26,64.12,,61.85,61.26,
Claude Sonnet 4.5,Anthropic,09/29/25,55.63,61.34,63.03,56.72,56.30,55.88,55.63,60.50,58.24,59.66,58.49
GPT 5.1 Chat,OpenAI,11/13/25,62.69,59.69,56.13,61.60,61.09,67.31,58.40,64.20,61.34,58.99,58.99
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,62.94,64.19,64.96,64.12,55.80,64.37,63.87,,63.87,62.69,
Claude Opus 4.5,Anthropic,11/24/25,61.60,57.65,65.63,56.22,57.14,60.17,64.45,61.60,61.34,60.76,60.76
GPT 5.2 Chat,OpenAI,12/10/25,67.33,65.64,66.72,69.02,57.14,64.29,65.26,68.01,67.31,65.88,59.83
Gemini 3 Flash Preview,Google,12/17/25,58.74,60.76,67.06,63.36,66.05,62.44,59.33,61.93,65.04,65.04,64.79
Claude Opus 4.6,Anthropic,02/04/26,67.31,63.36,64.45,68.15,66.22,63.53,67.31,65.88,62.44,63.87,61.01
Claude Sonnet 4.6,Anthropic,02/17/26,63.03,50.76,65.63,63.61,57.56,61.34,66.47,65.29,62.77,61.34,61.34
Gemini 3.1 Pro Preview,Google,02/19/26,71.11,64.65,68.17,71.20,64.79,66.33,71.78,71.16,,,
GPT 5.3 Chat,OpenAI,03/03/26,65.29,68.15,64.12,64.71,,67.31,67.31,65.29,63.87,65.29,69.58
GPT 5.4,OpenAI,03/05/26,65.71,60.25,64.45,61.93,58.57,61.93,64.29,64.54,65.13,63.95,65.97
Grok 4.20,xAI,03/31/26,61.01,47.31,67.73,54.79,57.65,56.72,61.34,65.45,57.98,59.16,47.94
Claude Opus 4.7,Anthropic,04/16/26,65.88,59.08,62.18,65.29,62.35,62.30,65.88,65.29,64.45,63.03,65.04
GPT 5.5,OpenAI,04/24/26,72.22,,67.47,71.03,61.61,,72.31,,,69.91,72.87
Grok 4.3,xAI,04/30/26,63.87,57.65,65.88,59.41,53.19,66.47,68.99,,57.51,62.44,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,61.85,58.49,63.87,64.45,42.05,60.17,64.45,63.03,63.61,64.45,62.44
