Model,Provider,Release Date,Zero-Shot,Counterfactual,Instructional,Directional,Few-Shot,Framed+Imputation Rules,Low Top-p,High Temp,Batched Zero-Shot,Batched Low Top-p,Batched High Temp
GPT 5 Chat,OpenAI,08/07/25,68.84,63.48,70.86,67.07,57.21,65.51,66.81,65.18,67.20,65.96,66.35
Grok 4 Fast,xAI,09/19/25,73.34,72.95,75.82,73.73,60.02,68.05,71.32,,68.44,68.05,
Claude Sonnet 4.5,Anthropic,09/29/25,60.22,66.75,69.23,62.30,59.30,61.06,60.22,65.51,62.63,64.27,63.48
GPT 5.1 Chat,OpenAI,11/13/25,69.68,65.64,61.91,67.60,65.90,74.13,64.79,71.37,66.75,65.18,65.18
Gemini 3 Pro Preview,Google,11/18/25,,,,,,,,,,,
Grok 4.1 Fast,xAI,11/19/25,70.53,71.96,72.56,71.32,57.61,72.16,70.47,,70.47,69.68,
Claude Opus 4.5,Anthropic,11/24/25,67.60,62.24,71.64,60.61,60.54,65.96,70.86,67.60,66.75,66.35,66.35
GPT 5.2 Chat,OpenAI,12/10/25,74.82,72.75,73.73,76.45,60.54,71.43,72.76,75.13,74.13,72.49,66.42
Gemini 3 Flash Preview,Google,12/17/25,64.33,66.35,73.28,68.77,69.88,68.84,64.72,67.14,71.25,71.25,70.40
Claude Opus 4.6,Anthropic,02/04/26,74.13,68.77,70.86,75.37,72.04,70.92,74.13,72.49,68.84,70.47,67.20
Claude Sonnet 4.6,Anthropic,02/17/26,69.23,54.93,71.64,69.62,58.78,66.75,72.89,72.10,68.38,66.75,66.75
Gemini 3.1 Pro Preview,Google,02/19/26,78.89,71.89,75.92,78.58,68.39,73.47,78.33,79.54,,,
GPT 5.3 Chat,OpenAI,03/03/26,72.10,75.37,71.32,71.71,,74.13,74.13,72.10,70.47,72.10,77.00
GPT 5.4,OpenAI,03/05/26,70.34,64.66,70.86,67.14,62.18,67.14,68.71,69.56,69.95,69.16,71.19
Grok 4.20,xAI,03/31/26,67.20,46.51,72.36,58.98,57.48,62.30,66.75,69.33,61.78,62.57,48.63
Claude Opus 4.7,Anthropic,04/16/26,72.49,63.87,67.99,72.10,65.38,68.35,72.49,72.10,70.86,69.23,71.25
GPT 5.5,OpenAI,04/24/26,81.48,,73.97,80.69,66.56,,81.54,,,77.86,80.33
Grok 4.3,xAI,04/30/26,70.47,62.24,72.49,63.42,55.19,72.89,76.61,,62.65,68.84,
Gemini 3.5 Flash,Google,05/19/26,,,,,,,,,,,
Claude Opus 4.8,Anthropic,05/27/26,68.44,63.48,70.47,70.86,40.91,65.96,70.86,69.23,69.62,70.86,68.84
